id,topic,question,tags,answer
1,sti,Will I get an STI if I don't use a condom?,"sti, condom","It is definitely possible to contract an STI if you don't use a condom. But with a condom, you are 80% less likely to get an STI- so we strongly recommend using a condom!"
2,sex,Does sex feel good/pleasureable?,"sex, feel, pleasure, good","It depends on the person. Most people have sex because it feels good and pleasureable. Some people also might expereince pain of discomfort during sex, which may be because of lack of lube, miscommunication between partners, or even a medical condition. To make sex feel good, it helps to experiment first with masturbation to find out what feels good for you! "
3,sex,What does sex feel like?,"sex, feel","It depends on the person. Most people have sex because it feels good and pleasureable. Some people also might expereince pain of discomfort during sex, which may be because of lack of lube, miscommunication between partners, or even a medical condition. To make sex feel good, it helps to experiment first with masturbation to find out what feels good for you! "
4,sex,What kinds of sex positions are there?,sex positions,"There are lots of sex positions for different kinds of sex! For anal and vaginal sex- missionary, cowgirl, and doggy style are common positions. For oral sex, ""69"" is another positionfew common ones. "
5,health,What is a period?,period,TBD
6,body,Is my penis too small?/Do women prefer bigger penises?,"penis, size, small","Penises come in all shapes and sizes. Some people prefer bigger penises, and some smaller. It honestly just depends. "
7,health,Is masturbation normal?,"masturbation, normal",Yes! Masturbation is both normal and healthy for everyone. Masturbation is a great way to find out what feels good for your body. 
8,sti,How likely am I to get an STI even if I use a condom?,"sti, condom, likely",TBD
9,sex,How do I know when I'm ready?/When's the right time to have sex?,"ready, first time, sex, right time",We believe that people are ready to have sex when they know how to communicate with another person about sex. 
10,"lgbtq, sex",How do two women have sex?,"women, sex, lesbian","There are lots of ways two women can have sex. For example, women can perform oral sex on each other, finger each others genitals, and have vaginal or anal sex with a penis or dildo. "
11,sti,What are the most common STIs?,"common, sti","The most common STI is HPV. In fact, 90% of people in the US will get HPV at some point in their lives. Other common STIs are chlamydia, gonorrhea, and herpes. "
12,"sex, sti",Can I get an STI from oral sex?,"sti, oral, sex","Yes, you can get an STI from oral sex- whether you are using your mouth or genitals. Bacterial STIs like chlamydia and gonorrhea can be transferred from gentials to mouths/throats (and vice versa). Herpes is also commonly transferred between mouths and gentials. In fact, 50% of all new genital herpes infections come from oral herpes. "
13,"sex, lgbtq, sti",Can I get an STI from anal sex?,"sti, anal, sex","Yes, you can get an STI from anal sex. Without using a condom, you are at high risk for STIs like chlamydia and gonorrhea. Anal sex also poses a high risk for HIV transmission. "
14,"sti, health",What if I have an STI but I don't get it checked?,"sti, looked at, check","Most STIs actually show <u> no symptoms </u> so most people won't know if they have an STI unless they get checked for them. If you have an STI and don't get it checked, you run the risk of transferring the STI to others and some STIs, like syphilis, get worse over time. "
15,"sti, health",What happens during STI testing?,"sti, testing, exam, kinds","Getting tested is actually a pretty easy process! A doctor will typically have you do a urine test to check for chalmydia and gonorrhea. If you have had anal or oral sex, you should also ask your doctor for a throat or rectal swab so they can check these places too. A provider may also draw some blood to check for other STIs. "
16,"sti, health","If I get tested, will they tell my parents?","sti, parents, clinic, tell, test",Every state has different laws. Use this tool to help you figure out what the consent laws are in your state.
17,sti,How can I tell if I have an STI?,"symptoms, sti","If you have an STI, msot of the time, you won't know on your own because most people have no symptoms. The only way to know for sure is to get tested."
18,"sti, health",What STIs can I get vaccinated for?,"sti, vaccine","You can get vaccinated for HPV, "
19,"sti, sex",Can I get an STI from a handjob or finger?,"sti, handjob, fingering","Usually not, and handjobs/fingering is a great strategy for protecting your health when you don't have a condom on you!  STIs can be transferred through bodily fluids and some by close personal contact, so if you "
20,"sti, health",How often should I get tested for STIs?,"sti, testing, frequency, often",We recommend getting tested for STIs annually
21,"sti, testing",Who should get tested for STIs?,"sti, testing","Anyone who has has sex should get tested for STIs. Some STIs, though, can get "
22,"sti, sex",Can I still have sex if I get an STI?,"sex, sti","Yes, you can still have sex. But you should also disclose this with a partner so you both know and can talk about how to stay safe during sex. "
23,"sti, relationships",If my partner has an STI does it mean they cheated on me?,"sti, relationship, cheat, partner, boyfriend, girlfriend","No, it does not automatically mean they cheated on you. They might have gotten an STI from a previous partner"
24,"sti, health",What do I do if my STI test is positive?,"sti, text, exam, positive","That depends on the STI! Virtually all STIs are treatable and many are curable. If you test positive, ask your tester or doctor about the specific actions or medications you need to treat or cure your STI. "
25,"sti, health",Can I get STI tested for free?,"sti, testing, free",Yes! Use this locator to find a clinic that does free STI testing. 
26,"sti, health",How much does it cost to get tested for STIs?,"sti, testing, cost",Many places will do it for free! Use this clinic locaor to finda free testing site. 
27,sti,Can I get an STI from kissing?,"sti, kissing","Oral herpes (cold sores) is actually very common- about 2 our of 3 people have oral herpes. Oral herpes can be transfered by salivia (kissing, sharing drinks). You cannot transfer HIV by kissing.  "
28,sti,What's the difference between STI and STD?,"sti, std","They mean the same thing. STI stands for ""sexually transmitted infection"" and STD for ""sexually transmitted disease"". They mean the same thing, but STI is the more medically accurate term (and is what we use on this site!)"
29,"sti, hiv",How easy is it to get HIV or AIDS?,"easy, hiv, aids, transmission",TBD
30,sti,What is HPV?,hpv,"HPV stands for “human papillomavirus.” HPV isn’t just one virus, but a group of viruses. Some of these viruses can cause serious health problems like cancer and warts. About 90% people will get infected with HPV. Most strands of HPV do go away on their own."
31,"sti, sex",Can I get an STI if I've only been with one person?,"sti, partner, one, boyfriend, girlfriend","Yes. You can even get an STI if you haven't had sex. For instance, genital warts can be transferred by ""close personal contact"". "
32,"sti, sex",Can I get an STI if I don't have sex?,"sti, sex","Usually not, but some STIs- like parasitic STIs and HPV- can be transferred by ""close personal contact"". "
33,sti,"If I've had an STI, can I get it again?","recur, sti, again","Bacterial STIs (chlamydia and gonorrhea) can be cured, and it's possible to get it again if you have sex with someone who also has it and do not take precautions. Usually, viral STIs..."
34,"sti, relationships",How can I tell if my partner has an STI?,"partner, sti, boyfirend, girlfriend","Ask them. Most people who have an STI show no symptoms, so the only way to know if to get tested. It's important for you and your partner to communicate about testing"
35,sti,How can I prevent getting an STI?,"sti, prevent","Using a barrier method, like condoms and dental dams, during sex are very effective at preventing STIs."
36,"sti, health",Is there a vaccine for STIs?,"sti, vaccine","Yes, some STIs like HPV and Hepatitis A/B have vaccines and are effective at preventing these STIs. "
